,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
10173,31620,31.11841,-83.43765,Adel,GA,Georgia,True,,10835.0,33.5,13075,Cook,"{""13075"": ""100""}",Cook,13075,False,False,America/New_York
10179,31627,31.04112,-83.39219,Cecil,GA,Georgia,True,,257.0,113.1,13075,Cook,"{""13075"": ""100""}",Cook,13075,False,False,America/New_York
10194,31647,31.21053,-83.4306,Sparks,GA,Georgia,True,,3781.0,32.4,13075,Cook,"{""13075"": ""100""}",Cook,13075,False,False,America/New_York
18657,55604,47.96004,-90.56468,Grand Marais,MN,Minnesota,True,,3578.0,1.6,27031,Cook,"{""27031"": ""100""}",Cook,27031,False,False,America/Chicago
18658,55605,47.96314,-89.75309,Grand Portage,MN,Minnesota,True,,684.0,3.7,27031,Cook,"{""27031"": ""100""}",Cook,27031,False,False,America/Chicago
18659,55606,47.93521,-89.99773,Hovland,MN,Minnesota,True,,188.0,0.6,27031,Cook,"{""27031"": ""100""}",Cook,27031,False,False,America/Chicago
18662,55612,47.77269,-90.70127,Lutsen,MN,Minnesota,True,,520.0,1.2,27031,Cook,"{""27031"": ""100""}",Cook,27031,False,False,America/Chicago
18663,55613,47.60721,-90.95745,Schroeder,MN,Minnesota,True,,178.0,0.8,27031,Cook,"{""27031"": ""100""}",Cook,27031,False,False,America/Chicago
18665,55615,47.73504,-90.83271,Tofte,MN,Minnesota,True,,228.0,0.8,27031,Cook,"{""27031"": ""100""}",Cook,27031,False,False,America/Chicago
20416,60004,42.11196,-87.97909,Arlington Heights,IL,Illinois,True,,50639.0,1764.1,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago
20417,60005,42.06394,-87.98567,Arlington Heights,IL,Illinois,True,,30079.0,1770.8,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago
20418,60007,42.00757,-87.99297,Elk Grove Village,IL,Illinois,True,,33161.0,907.8,17031,Cook,"{""17031"": ""100"", ""17043"": ""0""}",Cook|DuPage,17031|17043,False,False,America/Chicago
20419,60008,42.07445,-88.02268,Rolling Meadows,IL,Illinois,True,,21663.0,1616.4,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago
20425,60016,42.0497,-87.89166,Des Plaines,IL,Illinois,True,,59291.0,2155.2,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago
20426,60018,41.99743,-87.89695,Des Plaines,IL,Illinois,True,,30037.0,706.4,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago
20429,60022,42.13608,-87.7676,Glencoe,IL,Illinois,True,,8471.0,830.4,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago
20430,60025,42.0754,-87.82044,Glenview,IL,Illinois,True,,40935.0,1373.4,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago
20431,60026,42.09223,-87.83745,Glenview,IL,Illinois,True,,14021.0,1328.7,17031,Cook,"{""17031"": ""100""}",Cook,17031,False,False,America/Chicago
