name,zip_code,price,cuisine,num_review,rating,housing_price
etta - Bucktown,60622,20.5,Italian,20,4.4,907.9714573031821
Boxcar Betty's,60622,0.0,Sandwiches,11,4.909090909090909,907.9714573031821
The Perch,60622,0.0,American (New),20,4.4,907.9714573031821
Amaru,60622,0.0,Latin American,20,4.7,907.9714573031821
Kennedy Rooftop,60622,0.0,American (New),20,4.25,907.9714573031821
Lao Peng You,60622,20.5,Chinese,20,4.35,907.9714573031821
The Delta,60622,20.5,Southern,20,4.0,907.9714573031821
Lost Larson,60622,0.0,Sandwiches,13,3.7692307692307687,907.9714573031821
Forbidden Root,60622,20.5,Tapas/Small Plates,20,4.25,907.9714573031821
Kasama,60622,0.0,Filipino,20,4.8,907.9714573031821
Folklore Argentine Grill,60622,20.5,Argentine,20,3.9,907.9714573031821
Machine: Engineered Dining & Drink,60622,20.5,American (New),20,4.35,907.9714573031821
Sea & Olive,60622,0.0,Mediterranean,20,4.05,907.9714573031821
Cheba Hut Toasted Subs - Wicker Park,60622,0.0,Sandwiches,20,4.7,907.9714573031821
Takorea Cocina,60622,10.0,Korean,20,4.65,907.9714573031821
En Hakkore 2.0,60622,20.5,Asian Fusion,20,4.95,907.9714573031821
Pub Royale,60622,20.5,British,20,3.75,907.9714573031821
Boeufhaus,60622,45.5,Brasseries,20,4.1,907.9714573031821
Cinnaholic,60622,0.0,Vegan,11,4.2727272727272725,907.9714573031821
Savannah Luncheonette,60622,0.0,Comfort Food,3,4.0,907.9714573031821
Split-Rail,60622,20.5,American (Traditional),20,4.25,907.9714573031821
Lucy's,60622,20.5,American (Traditional),20,3.75,907.9714573031821
All Together Now,60622,20.5,American (New),20,4.5,907.9714573031821
Cafe Istanbul,60622,20.5,Turkish,20,4.45,907.9714573031821
JJ Thai Street Food,60622,20.5,Thai,20,4.15,907.9714573031821
Oiistar,60622,20.5,Asian Fusion,20,4.4,907.9714573031821
Tortello,60622,20.5,Italian,20,4.65,907.9714573031821
The Clampdown,60622,0.0,American (Traditional),5,4.4,907.9714573031821
Beatnik West Town,60622,20.5,Breakfast &amp; Brunch,20,3.65,907.9714573031821
Paulie Gee's Wicker Park,60622,0.0,Pizza,2,5.0,907.9714573031821
Wynwood Kitchen & Spirits,60622,0.0,American (New),20,3.4,907.9714573031821
Feed,60622,10.0,Southern,20,3.65,907.9714573031821
Jeff & Judes,60622,0.0,Breakfast &amp; Brunch,20,3.15,907.9714573031821
Osteria Rusticana,60622,20.5,Italian,20,4.95,907.9714573031821
Urbanbelly,60622,20.5,Asian Fusion,20,4.25,907.9714573031821
Bonchon Division St,60622,20.5,Korean,20,3.45,907.9714573031821
Silli Kori,60622,20.5,Thai,20,4.4,907.9714573031821
Takito Kitchen,60622,20.5,Mexican,20,4.4,907.9714573031821
The Bongo Room,60622,20.5,American (New),20,4.1,907.9714573031821
Paradise Park,60622,20.5,Pizza,20,4.05,907.9714573031821
Smoke Daddy,60622,20.5,Barbeque,20,3.7,907.9714573031821
Soulé,60622,20.5,Cajun/Creole,20,3.45,907.9714573031821
Lawn Restaurant - Hamburger,60622,0.0,Cheesesteaks,20,4.8,907.9714573031821
Mama Delia,60622,0.0,Spanish,20,3.9,907.9714573031821
Parlor Pizza Bar - Wicker Park,60622,20.5,Pizza,20,3.7,907.9714573031821
Antique Taco,60622,20.5,Mexican,20,4.2,907.9714573031821
Tamale Guy Chicago,60622,10.0,Mexican,20,4.35,907.9714573031821
Cracked on Milwaukee,60622,20.5,Breakfast &amp; Brunch,20,4.35,907.9714573031821
Kimchi Pop,60622,20.5,Korean,20,4.4,907.9714573031821
Kai Zan,60622,45.5,Asian Fusion,20,4.6,907.9714573031821
Rumi Middle Eastern Grill,60622,10.0,Mediterranean,20,4.45,907.9714573031821
Enoteca Roma Ristorante,60622,20.5,Italian,20,4.55,907.9714573031821
Bourbon On Division,60622,20.5,Southern,20,3.35,907.9714573031821
Sushi Taku,60622,20.5,Japanese,20,4.05,907.9714573031821
Flour Power,60622,0.0,Italian,14,4.642857142857143,907.9714573031821
The Boil Cajun Seafood,60622,0.0,Cajun/Creole,20,3.75,907.9714573031821
Mable's Table,60622,20.5,American (New),20,4.15,907.9714573031821
Taxim,60622,45.5,Greek,20,3.9,907.9714573031821
Shawarma Garden,60622,10.0,Middle Eastern,20,4.25,907.9714573031821
Piece Brewery and Pizzeria,60622,20.5,Pizza,20,3.95,907.9714573031821
Cumin,60622,20.5,Indian,20,4.2,907.9714573031821
Porto,60622,0.0,Portuguese,20,3.55,907.9714573031821
Fatso's Last Stand,60622,20.5,Hot Dogs,20,4.25,907.9714573031821
Sabroso! Mexican Grill,60622,20.5,Mexican,20,4.85,907.9714573031821
Pizza Friendly Pizza,60622,0.0,Pizza,20,4.65,907.9714573031821
Spinning J Bakery and Soda Fountain,60622,20.5,Breakfast &amp; Brunch,20,4.6,907.9714573031821
Sushi + Rotary Sushi Bar Bucktown,60622,0.0,Conveyor Belt Sushi,5,5.0,907.9714573031821
Ina Mae Tavern & Packaged Goods,60622,20.5,Southern,20,3.4,907.9714573031821
Cela's Boricua Style Hot Dog,60622,0.0,Hot Dogs,1,5.0,907.9714573031821
KINTON RAMEN,60622,20.5,Ramen,20,4.25,907.9714573031821
La Sandwichera,60622,0.0,Sandwiches,1,5.0,907.9714573031821
Tejanos,60622,0.0,Tex-Mex,13,4.307692307692308,907.9714573031821
Papa's Cache Sabroso,60622,20.5,Latin American,20,4.7,907.9714573031821
Hash,60622,20.5,Breakfast &amp; Brunch,20,4.6,907.9714573031821
MAK Restaurant,60622,20.5,Asian Fusion,20,3.85,907.9714573031821
Chicago Fajitas,60622,0.0,Mexican,1,5.0,907.9714573031821
Craft Pizza,60622,20.5,Pizza,20,4.5,907.9714573031821
Penumbra,60647,20.5,Seafood,20,4.75,823.6626264280893
Giant,60647,45.5,American (New),20,4.2,823.6626264280893
KFire,60647,0.0,Korean,20,4.8,823.6626264280893
Daisies,60647,20.5,American (New),20,4.55,823.6626264280893
Landbirds,60647,20.5,Chicken Wings,20,4.2,823.6626264280893
Longman & Eagle,60647,20.5,Gastropubs,20,4.2,823.6626264280893
Antico,60647,45.5,Italian,20,4.45,823.6626264280893
The Parlor &quot;Grand Speakeasy&quot;,60647,0.0,American (New),20,4.3,823.6626264280893
Offset BBQ,60647,0.0,Barbeque,20,4.7,823.6626264280893
Taqueria Chingon,60647,0.0,Mexican,20,4.65,823.6626264280893
90 Miles Cuban Café,60647,20.5,Cuban,20,4.45,823.6626264280893
Small Cheval,60647,20.5,Burgers,20,4.6,823.6626264280893
The Bristol,60647,20.5,American (New),20,4.15,823.6626264280893
Handlebar,60647,20.5,Vegetarian,20,4.5,823.6626264280893
Bárbaro Taquería,60647,20.5,Mexican,20,4.6,823.6626264280893
Scofflaw,60647,20.5,American (New),20,3.85,823.6626264280893
Wonder Chop,60647,0.0,Chinese,20,4.85,823.6626264280893
Mindy's Hot Chocolate,60647,20.5,American (Traditional),20,4.5,823.6626264280893
Owen & Engine,60647,20.5,Gastropubs,20,4.5,823.6626264280893
Three Wheels Noodle,60647,20.5,Thai,20,4.4,823.6626264280893
Testaccio,60647,0.0,Italian,20,4.9,823.6626264280893
Andros Taverna,60647,0.0,Greek,14,4.428571428571429,823.6626264280893
Ramen Wasabi,60647,20.5,Ramen,20,4.5,823.6626264280893
Olivia's Market,60647,45.5,Delis,20,4.45,823.6626264280893
Lula Cafe,60647,20.5,American (New),20,4.45,823.6626264280893
Serai,60647,20.5,Malaysian,20,4.35,823.6626264280893
The Whale Chicago,60647,20.5,American (New),20,4.15,823.6626264280893
Bungalow by Middle Brow,60647,20.5,Pizza,20,3.65,823.6626264280893
Flat & Point,60647,0.0,American (New),20,4.55,823.6626264280893
Ipsento 606,60647,20.5,Sandwiches,20,3.85,823.6626264280893
Chef’s Special Cocktail Bar,60647,0.0,Chinese,20,4.15,823.6626264280893
Bixi Beer,60647,20.5,Asian Fusion,20,4.55,823.6626264280893
"Table, Donkey and Stick",60647,20.5,Modern European,20,4.3,823.6626264280893
En Hakkore,60647,20.5,Korean,20,4.6,823.6626264280893
Irazú Costa Rican Restaurant & Catering,60647,20.5,Latin American,20,4.65,823.6626264280893
Humboldt Haus Sandwich Bar,60647,10.0,Sandwiches,20,4.25,823.6626264280893
Nomonomo Japanese Pub & Grill,60647,0.0,Japanese,10,3.9,823.6626264280893
Wyler Road,60647,20.5,Sandwiches,20,4.15,823.6626264280893
The StopAlong,60647,20.5,Pizza,20,4.2,823.6626264280893
Milly’s Pizza In The Pan,60647,0.0,Pizza,20,4.9,823.6626264280893
1492 Cuban Fusion,60647,20.5,Cuban,20,4.65,823.6626264280893
Dos Urban Cantina,60647,20.5,Mexican,20,4.45,823.6626264280893
Cebu,60647,20.5,Filipino,20,4.25,823.6626264280893
Mi Tocaya Antojeria,60647,20.5,Mexican,20,3.7,823.6626264280893
Tricycle Chicago,60647,20.5,American (New),20,3.65,823.6626264280893
The Moonlighter,60647,20.5,Burgers,20,3.9,823.6626264280893
Namaste Chicago,60647,20.5,Indian,20,4.55,823.6626264280893
Knead Great Pizza,60647,20.5,Pizza,20,4.65,823.6626264280893
Mini Mott,60647,20.5,Burgers,20,3.95,823.6626264280893
Caribella,60647,20.5,Breakfast &amp; Brunch,20,4.7,823.6626264280893
Paulie Gee's Logan Square,60647,20.5,Pizza,20,4.15,823.6626264280893
El Habanero,60647,20.5,Mexican,20,4.3,823.6626264280893
The Crab Pad,60647,20.5,Seafood,20,3.7,823.6626264280893
Osteria Langhe,60647,45.5,Italian,20,4.95,823.6626264280893
Bulerias Tapas Bar,60647,0.0,Tapas Bars,20,4.2,823.6626264280893
