restaurant_name,zip_code,price,cuisine,num_review,rating,housing_price,median_income
Boxcar Betty's,60622,,Sandwiches,12,4.916666666666667,915.3295025388841,101161
Amaru,60622,,Latin American,20,4.7,915.3295025388841,101161
Kennedy Rooftop,60622,,American (New),20,4.05,915.3295025388841,101161
Lao Peng You,60622,20.5,Chinese,20,4.35,915.3295025388841,101161
The Delta,60622,20.5,Southern,20,4.0,915.3295025388841,101161
Lost Larson,60622,,Sandwiches,13,3.769230769230769,915.3295025388841,101161
Forbidden Root,60622,20.5,Tapas/Small Plates,20,4.25,915.3295025388841,101161
Kasama,60622,,Filipino,20,4.8,915.3295025388841,101161
Folklore Argentine Grill,60622,20.5,Argentine,20,3.9,915.3295025388841,101161
Sea & Olive,60622,,Mediterranean,20,4.05,915.3295025388841,101161
Cheba Hut Toasted Subs - Wicker Park,60622,,Sandwiches,20,4.7,915.3295025388841,101161
Takorea Cocina,60622,5.0,Korean,20,4.65,915.3295025388841,101161
En Hakkore 2.0,60622,20.5,Asian Fusion,20,4.8,915.3295025388841,101161
Boeufhaus,60622,45.5,Brasseries,20,4.1,915.3295025388841,101161
Cinnaholic,60622,,Vegan,11,4.2727272727272725,915.3295025388841,101161
Savannah Luncheonette,60622,,Comfort Food,3,4.0,915.3295025388841,101161
Split-Rail,60622,20.5,American (Traditional),20,4.25,915.3295025388841,101161
Lucy's,60622,20.5,American (Traditional),20,3.75,915.3295025388841,101161
All Together Now,60622,20.5,American (New),20,4.5,915.3295025388841,101161
Phodega,60622,20.5,Vietnamese,20,4.1,915.3295025388841,101161
Cafe Istanbul,60622,20.5,Turkish,20,4.45,915.3295025388841,101161
JJ Thai Street Food,60622,20.5,Thai,20,4.15,915.3295025388841,101161
Oiistar,60622,20.5,Asian Fusion,20,4.4,915.3295025388841,101161
Tortello,60622,20.5,Italian,20,4.65,915.3295025388841,101161
Paulie Gee's Wicker Park,60622,,Pizza,2,5.0,915.3295025388841,101161
Wynwood Kitchen & Spirits,60622,,American (New),20,3.4,915.3295025388841,101161
Feed,60622,5.0,Southern,20,3.65,915.3295025388841,101161
Osteria Rusticana,60622,20.5,Italian,20,4.95,915.3295025388841,101161
Urbanbelly,60622,20.5,Asian Fusion,20,4.25,915.3295025388841,101161
Bonchon Division St,60622,20.5,Korean,20,3.45,915.3295025388841,101161
Silli Kori,60622,20.5,Thai,20,4.3,915.3295025388841,101161
The Bongo Room,60622,20.5,American (New),20,4.1,915.3295025388841,101161
Paradise Park,60622,20.5,Pizza,20,4.05,915.3295025388841,101161
Soulé,60622,20.5,Cajun/Creole,20,3.45,915.3295025388841,101161
Lawn Restaurant - Hamburger,60622,,Cheesesteaks,20,4.8,915.3295025388841,101161
Mama Delia,60622,,Spanish,20,3.9,915.3295025388841,101161
Antique Taco,60622,20.5,Mexican,20,4.2,915.3295025388841,101161
Tamale Guy Chicago,60622,5.0,Mexican,20,4.35,915.3295025388841,101161
Cracked on Milwaukee,60622,20.5,Breakfast & Brunch,20,4.45,915.3295025388841,101161
Bourbon On Division,60622,20.5,Southern,20,3.35,915.3295025388841,101161
Sushi Taku,60622,20.5,Japanese,20,4.05,915.3295025388841,101161
Flour Power,60622,,Italian,14,4.642857142857143,915.3295025388841,101161
Mable's Table,60622,20.5,American (New),20,4.15,915.3295025388841,101161
Shawarma Garden,60622,5.0,Middle Eastern,20,4.05,915.3295025388841,101161
Cumin,60622,20.5,Indian,20,4.2,915.3295025388841,101161
Porto,60622,,Portuguese,20,3.55,915.3295025388841,101161
Sabroso! Mexican Grill,60622,20.5,Mexican,20,4.85,915.3295025388841,101161
