restaurant_name,zip_code,price,cuisine,num_review,rating
Boxcar Betty's,60622,,Sandwiches,12,4.916666666666667
Penumbra,60647,20.5,Seafood,20,4.75
Quesabirria Jalisco Restaurant,60706,,Mexican,20,4.75
Amaru,60622,,Latin American,20,4.7
Kennedy Rooftop,60622,,American (New),20,4.05
Lao Peng You,60622,20.5,Chinese,20,4.35
The Delta,60622,20.5,Southern,20,4.0
Lost Larson,60622,,Sandwiches,13,3.769230769230769
Forbidden Root,60622,20.5,Tapas/Small Plates,20,4.25
Kasama,60622,,Filipino,20,4.8
Folklore Argentine Grill,60622,20.5,Argentine,20,3.9
Sea & Olive,60622,,Mediterranean,20,4.05
KFire,60647,,Korean,20,4.85
Chick-fil-A - Bucktown,60614,,Fast Food,11,4.2727272727272725
Cheba Hut Toasted Subs - Wicker Park,60622,,Sandwiches,20,4.7
Daisies,60647,20.5,American (New),20,4.55
Takorea Cocina,60622,5.0,Korean,20,4.65
En Hakkore 2.0,60622,20.5,Asian Fusion,20,4.8
Landbirds,60647,20.5,Chicken Wings,20,4.15
Longman & Eagle,60647,20.5,Gastropubs,20,4.25
Boeufhaus,60622,45.5,Brasseries,20,4.1
Cinnaholic,60622,,Vegan,11,4.2727272727272725
Maple & Ash,60610,70.0,Steakhouses,20,4.55
Savannah Luncheonette,60622,,Comfort Food,3,4.0
Split-Rail,60622,20.5,American (Traditional),20,4.25
Lucy's,60622,20.5,American (Traditional),20,3.75
All Together Now,60622,20.5,American (New),20,4.5
Phodega,60622,20.5,Vietnamese,20,4.1
Cafe Istanbul,60622,20.5,Turkish,20,4.45
Antico,60647,45.5,Italian,20,4.45
The Parlor &quot;Grand Speakeasy&quot;,60647,,American (New),20,4.3
JJ Thai Street Food,60622,20.5,Thai,20,4.15
Offset BBQ,60647,,Barbeque,20,4.75
Oiistar,60622,20.5,Asian Fusion,20,4.4
Little Goat Diner,60607,20.5,Diners,20,4.5
Tortello,60622,20.5,Italian,20,4.65
Fry The Coop,60642,20.5,American (Traditional),20,4.45
Small Cheval,60647,20.5,Burgers,20,4.55
The Bristol,60647,20.5,American (New),20,3.95
Perilla Korean American Fare,60654,,Korean,20,4.45
Paulie Gee's Wicker Park,60622,,Pizza,2,5.0
Handlebar,60647,20.5,Vegetarian,20,4.5
Pequod's Pizzeria,60614,20.5,Pizza,20,4.15
Wonder Chop,60647,,Chinese,20,4.85
Wynwood Kitchen & Spirits,60622,,American (New),20,3.4
Mindy's Hot Chocolate,60647,20.5,American (Traditional),20,4.5
Butcher & The Burger,60614,20.5,Burgers,20,4.45
Owen & Engine,60647,20.5,Gastropubs,20,4.55
Feed,60622,5.0,Southern,20,3.65
Osteria Rusticana,60622,20.5,Italian,20,4.95
Urbanbelly,60622,20.5,Asian Fusion,20,4.25
Testaccio,60647,,Italian,20,4.9
Minahasa,60603,,Indonesian,7,4.857142857142857
Bonchon Division St,60622,20.5,Korean,20,3.45
Reve Burger,60607,,Burgers,16,3.3125
Silli Kori,60622,20.5,Thai,20,4.3
jeong,60642,,Korean,20,4.6
Andros Taverna,60647,,Greek,14,4.428571428571429
Three Dots and a Dash,60654,20.5,Asian Fusion,20,4.05
The Bongo Room,60622,20.5,American (New),20,4.1
Paradise Park,60622,20.5,Pizza,20,4.05
Ramen Wasabi,60647,20.5,Ramen,20,4.5
Olivia's Market,60647,45.5,Delis,20,4.45
Avec River North,60654,,Mediterranean,7,2.857142857142857
Lula Cafe,60647,20.5,American (New),20,4.45
Soulé,60622,20.5,Cajun/Creole,20,3.45
Lawn Restaurant - Hamburger,60622,,Cheesesteaks,20,4.8
Eat Me Milk Me,60607,5.0,Themed Cafes,20,4.5
Mama Delia,60622,,Spanish,20,3.9
Antique Taco,60622,20.5,Mexican,20,4.2
Tamale Guy Chicago,60622,5.0,Mexican,20,4.35
Mom's,60607,,Japanese,8,4.75
Bungalow by Middle Brow,60647,20.5,Pizza,20,3.65
Flat & Point,60647,,American (New),20,4.55
Del Seoul,60614,5.0,Korean,20,4.5
Chef’s Special Cocktail Bar,60647,,Chinese,20,4.15
The Arch,60604,,American (Traditional),5,4.4
Cracked on Milwaukee,60622,20.5,Breakfast & Brunch,20,4.45
The Publican,60607,45.5,American (New),20,3.85
Portillo's Hot Dogs,60654,5.0,Hot Dogs,20,3.95
Bourbon On Division,60622,20.5,Southern,20,3.35
Wake ‘n Bacon,60657,,Breakfast & Brunch,20,4.35
Bixi Beer,60647,20.5,Asian Fusion,20,4.55
Duck Duck Goat,60607,45.5,Chinese,20,4.55
Goose Island Shrimp House Chicago,60642,5.0,Seafood,20,3.9
En Hakkore,60647,20.5,Korean,20,4.65
Sushi Taku,60622,20.5,Japanese,20,4.05
Flour Power,60622,,Italian,14,4.642857142857143
Sir Chicken,60654,,Chicken Shop,8,4.5
Irazú Costa Rican Restaurant & Catering,60647,20.5,Latin American,20,4.5
Kapitan,60614,,Asian Fusion,20,4.3
Same Same,60618,20.5,Thai,20,4.4
Galit,60614,20.5,Mediterranean,20,4.8
Mable's Table,60622,20.5,American (New),20,4.15
Lonesome Rose,60647,20.5,Mexican,20,4.15
Honey Butter Fried Chicken,60618,20.5,Chicken Shop,20,3.85
Humboldt Haus Sandwich Bar,60647,5.0,Sandwiches,20,4.25
Summer House Santa Monica,60614,20.5,American (Traditional),20,4.6
La Malinche Coffee House,60608,,Sandwiches,3,4.0
Wyler Road,60647,20.5,Sandwiches,20,4.15
The StopAlong,60647,20.5,Pizza,20,4.3
Shawarma Garden,60622,5.0,Middle Eastern,20,4.05
Doc B's Restaurant + Bar,60611,20.5,American (New),20,4.45
Bar Siena,60607,20.5,Italian,20,4.1
Milly’s Pizza In The Pan,60647,,Pizza,20,4.9
Cumin,60622,20.5,Indian,20,4.2
Cafe Ba-Ba-Reeba!,60614,20.5,Spanish,20,4.9
Xi'an Dynasty Cuisine,60614,20.5,Chinese,20,4.55
QBirria Factory,60661,,Mexican,20,4.15
1492 Cuban Fusion,60647,20.5,Cuban,20,4.65
Porto,60622,,Portuguese,20,3.55
Pizzeria Bebu,60642,20.5,Pizza,20,4.55
Chengdu Aroma,60657,20.5,Szechuan,20,4.9
Vajra,60642,45.5,Himalayan/Nepalese,20,4.8
Sabroso! Mexican Grill,60622,20.5,Mexican,20,4.85
Tricycle Chicago,60647,20.5,American (New),20,3.65
Hops & Curds,60614,,Comfort Food,16,4.8125
Green Street Smoked Meats,60607,20.5,Barbeque,20,4.5
Pizza Friendly Pizza,60622,,Pizza,20,4.65
Haidilao Hot Pot,60616,,Chinese,8,5.0
Sfera Sicilian Street Food,60617,,Sicilian,8,5.0
Spinning J Bakery and Soda Fountain,60622,20.5,Breakfast & Brunch,20,4.6
Bavette's Bar & Boeuf,60654,45.5,Steakhouses,20,4.5
The Moonlighter,60647,20.5,Burgers,20,3.9
Namaste Chicago,60647,20.5,Indian,20,4.55
Sushi + Rotary Sushi Bar Bucktown,60622,,Conveyor Belt Sushi,5,5.0
Ina Mae Tavern & Packaged Goods,60622,20.5,Southern,20,3.5
Cela's Boricua Style Hot Dog,60622,,Hot Dogs,1,5.0
Boka,60614,45.5,American (New),20,4.6
XOchimilco Mexican Restaurant,60618,20.5,Mexican,20,4.95
Flo,60642,20.5,Breakfast & Brunch,20,4.55
The Dawson,60654,20.5,American (Traditional),20,3.8
Big League Burgers,60618,,Burgers,17,4.411764705882353
ArePA George,60651,20.5,Colombian,20,4.1
Avec - Chicago,60661,45.5,Mediterranean,20,4.4
Mini Mott,60647,20.5,Burgers,20,3.95
Lil' Ba-Ba-Reeba,60654,,Seafood,7,4.571428571428571
KINTON RAMEN,60622,20.5,Ramen,20,4.25
Lowcountry Lakeview,60657,20.5,Cajun/Creole,20,4.6
La Sandwichera,60622,,Sandwiches,1,5.0
Tejanos,60622,,Tex-Mex,13,4.3076923076923075
Caribella,60647,20.5,Breakfast & Brunch,20,4.7
Paulie Gee's Logan Square,60647,20.5,Pizza,20,4.15
El Habanero,60647,20.5,Mexican,20,4.35
The Dandy Crown,60642,,American (New),16,4.375
Hash,60622,20.5,Breakfast & Brunch,20,4.65
Monteverde,60607,45.5,Italian,20,4.7
Aloha Eats,60614,20.5,Hawaiian,20,4.45
Bartoli’s Pizzeria,60622,,Pizza,17,4.411764705882353
Crab Cellar,60614,70.0,Seafood,20,4.7
Qing Xiang Yuan Dumplings,60616,20.5,Barbeque,20,4.6
Smoque BBQ,60641,20.5,Barbeque,20,4.65
Arbella,60654,20.5,Tapas/Small Plates,20,4.75
Tempesta Market,60642,20.5,Delis,20,4.55
Philly Bros,60614,20.5,Halal,20,4.2
Chicago Fajitas,60622,,Mexican,1,5.0
Osteria Langhe,60647,45.5,Italian,20,4.95
The Picky Vegan,60610,,Vegan,2,5.0
Greek Islands Restaurant,60661,20.5,Greek,20,4.2
Le Sud,60618,45.5,Mediterranean,20,4.7
True Food Kitchen,60654,20.5,American (New),20,4.1
Menya Goku By Ramen Wasabi,60618,20.5,Ramen,20,4.55
Bill Kim Asian Comfort Food,60607,,Korean,6,4.333333333333333
Craft Pizza,60622,20.5,Pizza,20,4.5
Bulerias Tapas Bar,60647,,Tapas Bars,20,4.2
Heritage Restaurant & Caviar Bar,60622,45.5,Seafood,20,4.75
Pl-zen,60608,20.5,Gastropubs,20,4.05
Reno,60647,20.5,American (Traditional),20,3.85
Tryzub Ukrainian Kitchen,60622,20.5,Ukrainian,20,4.5
JIAN,60602,,Chinese,20,4.0
The Violet Hour,60622,20.5,American (New),20,4.1
Maggiano's Little Italy,60654,,Italian,2,5.0
