restaurant_name,zip_code,price,cuisine,num_review,rating
etta - Bucktown,60622,20.5,Italian,20,4.4
Boxcar Betty's,60622,,Sandwiches,12,4.916666666666667
Penumbra,60647,20.5,Seafood,20,4.75
Quesabirria Jalisco Restaurant,60706,,Mexican,20,4.75
Amaru,60622,,Latin American,20,4.7
Kennedy Rooftop,60622,,American (New),20,4.05
Giant,60647,45.5,American (New),20,4.2
Wildberry Pancakes and Cafe,60601,20.5,Pancakes,20,4.7
Mott St,60622,20.5,Asian Fusion,20,4.35
Lao Peng You,60622,20.5,Chinese,20,4.35
Au Cheval,60607,20.5,American (Traditional),20,3.95
The Delta,60622,20.5,Southern,20,4.0
Lost Larson,60622,,Sandwiches,13,3.769230769230769
Forbidden Root,60622,20.5,Tapas/Small Plates,20,4.25
Folklore Argentine Grill,60622,20.5,Argentine,20,3.9
Machine: Engineered Dining & Drink,60622,20.5,American (New),20,4.35
Sea & Olive,60622,,Mediterranean,20,4.05
KFire,60647,,Korean,20,4.85
Chick-fil-A - Bucktown,60614,,Fast Food,11,4.2727272727272725
Cheba Hut Toasted Subs - Wicker Park,60622,,Sandwiches,20,4.7
Daisies,60647,20.5,American (New),20,4.55
Takorea Cocina,60622,10,Korean,20,4.65
En Hakkore 2.0,60622,20.5,Asian Fusion,20,4.8
Landbirds,60647,20.5,Chicken Wings,20,4.15
Pub Royale,60622,20.5,British,20,3.75
Longman & Eagle,60647,20.5,Gastropubs,20,4.25
Boeufhaus,60622,45.5,Brasseries,20,4.1
Cinnaholic,60622,,Vegan,11,4.2727272727272725
Lucy's,60622,20.5,American (Traditional),20,3.75
All Together Now,60622,20.5,American (New),20,4.5
Phodega,60622,20.5,Vietnamese,20,4.1
Cafe Istanbul,60622,20.5,Turkish,20,4.45
Antico,60647,45.5,Italian,20,4.45
SoJu BBQ,60607,20.5,Korean,20,4.45
The Parlor &quot;Grand Speakeasy&quot;,60647,,American (New),20,4.3
Offset BBQ,60647,,Barbeque,20,4.75
Oiistar,60622,20.5,Asian Fusion,20,4.4
Tortello,60622,20.5,Italian,20,4.65
The Clampdown,60622,,American (Traditional),5,4.4
Fry The Coop,60642,20.5,American (Traditional),20,4.45
90 Miles Cuban Café,60647,20.5,Cuban,20,4.45
Paulie Gee's Wicker Park,60622,,Pizza,2,5.0
Handlebar,60647,20.5,Vegetarian,20,4.5
Bárbaro Taquería,60647,20.5,Mexican,20,4.6
Scofflaw,60647,20.5,American (New),20,3.85
Alinea,60614,61,American (New),20,4.4
Wonder Chop,60647,,Chinese,20,4.85
Wynwood Kitchen & Spirits,60622,,American (New),20,3.4
Mindy's Hot Chocolate,60647,20.5,American (Traditional),20,4.5
Butcher & The Burger,60614,20.5,Burgers,20,4.45
Owen & Engine,60647,20.5,Gastropubs,20,4.55
Jeff & Judes,60622,,Breakfast & Brunch,20,3.15
Osteria Rusticana,60622,20.5,Italian,20,4.95
Testaccio,60647,,Italian,20,4.9
Minahasa,60603,,Indonesian,7,4.857142857142857
Bonchon Division St,60622,20.5,Korean,20,3.45
Reve Burger,60607,,Burgers,16,3.3125
Silli Kori,60622,20.5,Thai,20,4.35
SPICY FINGERS  Seafood Kitchen,60642,,Seafood,20,4.25
Andros Taverna,60647,,Greek,14,4.428571428571429
Crisp,60657,20.5,Korean,20,4.55
Three Dots and a Dash,60654,20.5,Asian Fusion,20,4.05
Takito Kitchen,60622,20.5,Mexican,20,4.4
The Bongo Room,60622,20.5,American (New),20,4.1
Paradise Park,60622,20.5,Pizza,20,4.05
Olivia's Market,60647,45.5,Delis,20,4.45
Smoke Daddy,60622,20.5,Barbeque,20,3.7
Avec River North,60654,,Mediterranean,7,2.857142857142857
Lula Cafe,60647,20.5,American (New),20,4.45
Soulé,60622,20.5,Cajun/Creole,20,3.45
Eat Me Milk Me,60607,10,Themed Cafes,20,4.5
Serai,60647,20.5,Malaysian,20,4.35
Mama Delia,60622,,Spanish,20,3.9
Parlor Pizza Bar - Wicker Park,60622,20.5,Pizza,20,3.7
Tamale Guy Chicago,60622,10,Mexican,20,4.35
Mom's,60607,,Japanese,8,4.75
Crazy Bird,60642,10,Chicken Wings,20,4.3
Bungalow by Middle Brow,60647,20.5,Pizza,20,3.65
Flat & Point,60647,,American (New),20,4.55
Del Seoul,60614,10,Korean,20,4.5
Ipsento 606,60647,20.5,Sandwiches,20,3.85
Cracked on Milwaukee,60622,20.5,Breakfast & Brunch,20,4.45
Kai Zan,60622,45.5,Asian Fusion,20,4.6
Rumi Middle Eastern Grill,60622,10,Mediterranean,20,4.5
The Publican,60607,45.5,American (New),20,3.85
Enoteca Roma Ristorante,60622,20.5,Italian,20,4.55
Portillo's Hot Dogs,60654,10,Hot Dogs,20,3.95
Bourbon On Division,60622,20.5,Southern,20,3.35
The Loyalist,60607,20.5,American (New),20,4.15
Chicago Pizza And Oven Grinder Company,60614,20.5,Pizza,20,4.6
"Table, Donkey and Stick",60647,20.5,Modern European,20,4.3
En Hakkore,60647,20.5,Korean,20,4.65
Aba,60607,45.5,Mediterranean,20,4.7
Sushi Taku,60622,20.5,Japanese,20,4.05
Flour Power,60622,,Italian,14,4.642857142857143
Sir Chicken,60654,,Chicken Shop,8,4.5
Kapitan,60614,,Asian Fusion,20,4.3
Galit,60614,20.5,Mediterranean,20,4.8
Mable's Table,60622,20.5,American (New),20,4.15
Tatas Tacos,60657,,Tacos,3,5.0
Honey Butter Fried Chicken,60618,20.5,Chicken Shop,20,3.85
Taxim,60622,45.5,Greek,20,3.9
Humboldt Haus Sandwich Bar,60647,10,Sandwiches,20,4.25
Summer House Santa Monica,60614,20.5,American (Traditional),20,4.6
La Malinche Coffee House,60608,,Sandwiches,3,4.0
Wyler Road,60647,20.5,Sandwiches,20,4.15
Shawarma Garden,60622,10,Middle Eastern,20,4.05
Doc B's Restaurant + Bar,60611,20.5,American (New),20,4.45
Milly’s Pizza In The Pan,60647,,Pizza,20,4.9
Cumin,60622,20.5,Indian,20,4.2
Cafe Ba-Ba-Reeba!,60614,20.5,Spanish,20,4.9
The Office,60607,61,American (Traditional),20,4.4
QBirria Factory,60661,,Mexican,20,4.15
1492 Cuban Fusion,60647,20.5,Cuban,20,4.65
Porto,60622,,Portuguese,20,3.55
Dos Urban Cantina,60647,20.5,Mexican,20,4.45
Cebu,60647,20.5,Filipino,20,4.25
Kizuki Ramen & Izakaya,60622,20.5,Ramen,20,4.15
Pizzeria Bebu,60642,20.5,Pizza,20,4.55
Boqueria - Fulton Market,60607,45.5,Spanish,20,4.65
RAMEN-SAN,60654,20.5,Ramen,20,3.7
Mi Tocaya Antojeria,60647,20.5,Mexican,20,3.7
Tricycle Chicago,60647,20.5,American (New),20,3.65
Hops & Curds,60614,,Comfort Food,16,4.8125
Iron Age Korean Steakhouse,60622,20.5,Korean,20,3.75
Haidilao Hot Pot,60616,,Chinese,8,5.0
Sfera Sicilian Street Food,60617,,Sicilian,8,5.0
Spinning J Bakery and Soda Fountain,60622,20.5,Breakfast & Brunch,20,4.6
Bavette's Bar & Boeuf,60654,45.5,Steakhouses,20,4.5
The Moonlighter,60647,20.5,Burgers,20,3.9
Namaste Chicago,60647,20.5,Indian,20,4.55
Sushi + Rotary Sushi Bar Bucktown,60622,,Conveyor Belt Sushi,5,5.0
Ina Mae Tavern & Packaged Goods,60622,20.5,Southern,20,3.5
Knead Great Pizza,60647,20.5,Pizza,20,4.65
Daebak Lincoln Park,60642,,Korean,6,4.666666666666667
Cela's Boricua Style Hot Dog,60622,,Hot Dogs,1,5.0
