name,zip_code,price_range,cuisine,num_review,rating
etta - Bucktown,60622,$11-30,Italian,20,4.4
The Perch,60622,,American (New),20,4.4
Penumbra,60647,$11-30,Seafood,20,4.75
Amaru,60622,,Latin American,20,4.7
Kennedy Rooftop,60622,,American (New),20,4.25
Giant,60647,$31-60,American (New),20,4.15
Wildberry Pancakes and Cafe,60601,$11-30,Pancakes,20,4.55
Mott St,60622,$11-30,Asian Fusion,20,4.35
Au Cheval,60607,$11-30,American (Traditional),20,4.15
The Delta,60622,$11-30,Southern,20,4.0
Lost Larson,60622,,Sandwiches,13,3.769230769230769
Forbidden Root,60622,$11-30,Tapas/Small Plates,20,4.15
Folklore Argentine Grill,60622,$11-30,Argentine,20,4.0
Machine: Engineered Dining & Drink,60622,$11-30,American (New),20,4.35
KFire,60647,,Korean,20,4.8
Chick-fil-A - Bucktown,60614,,Fast Food,11,4.2727272727272725
Cheba Hut Toasted Subs - Wicker Park,60622,,Sandwiches,20,4.7
Daisies,60647,$11-30,American (New),20,4.55
Takorea Cocina,60622,Under $10,Korean,20,4.65
En Hakkore 2.0,60622,$11-30,Asian Fusion,20,4.95
Landbirds,60647,$11-30,Chicken Wings,20,4.2
Pub Royale,60622,$11-30,British,20,3.75
Cinnaholic,60622,,Vegan,11,4.2727272727272725
Maple & Ash,60610,Above $61,Steakhouses,20,4.45
Savannah Luncheonette,60622,,Comfort Food,3,4.0
Split-Rail,60622,$11-30,American (Traditional),20,4.25
Lucy's,60622,$11-30,American (Traditional),20,3.7
All Together Now,60622,$11-30,American (New),20,4.5
Phodega,60622,$11-30,Vietnamese,20,4.1
Cafe Istanbul,60622,$11-30,Turkish,20,4.45
Antico,60647,$31-60,Italian,20,4.45
SoJu BBQ,60607,$11-30,Korean,20,4.45
JJ Thai Street Food,60622,$11-30,Thai,20,4.15
Offset BBQ,60647,,Barbeque,20,4.7
Oiistar,60622,$11-30,Asian Fusion,20,4.4
Little Goat Diner,60607,$11-30,Diners,20,4.5
The Clampdown,60622,,American (Traditional),5,4.4
Fry The Coop,60642,$11-30,American (Traditional),20,4.45
Taqueria Chingon,60647,,Mexican,20,4.65
90 Miles Cuban Café,60647,$11-30,Cuban,20,4.45
The Bristol,60647,$11-30,American (New),20,4.15
Beatnik West Town,60622,$11-30,Breakfast &amp; Brunch,20,3.55
Perilla Korean American Fare,60654,,Korean,20,4.45
Paulie Gee's Wicker Park,60622,,Pizza,2,5.0
Handlebar,60647,$11-30,Vegetarian,20,4.5
Scofflaw,60647,$11-30,American (New),20,3.85
Pequod's Pizzeria,60614,$11-30,Pizza,20,4.0
Alinea,60614,Above $61,American (New),20,4.5
Wonder Chop,60647,,Chinese,20,4.85
Mindy's Hot Chocolate,60647,$11-30,American (Traditional),20,4.5
Butcher & The Burger,60614,$11-30,Burgers,20,4.45
Three Wheels Noodle,60647,$11-30,Thai,20,4.4
Feed,60622,Under $10,Southern,20,3.6
Jeff & Judes,60622,,Breakfast &amp; Brunch,20,3.15
Osteria Rusticana,60622,$11-30,Italian,20,5.0
Urbanbelly,60622,$11-30,Asian Fusion,20,4.25
Testaccio,60647,,Italian,20,4.9
Minahasa,60603,,Indonesian,6,4.833333333333333
Bonchon Division St,60622,$11-30,Korean,20,3.45
Reve Burger,60607,,Burgers,16,3.3125
Silli Kori,60622,$11-30,Thai,20,4.4
SPICY FINGERS  Seafood Kitchen,60642,,Seafood,20,4.35
jeong,60642,,Korean,20,4.6
Andros Taverna,60647,,Greek,13,4.384615384615385
Three Dots and a Dash,60654,$11-30,Asian Fusion,20,4.15
Paradise Park,60622,$11-30,Pizza,20,4.15
Ramen Wasabi,60647,$11-30,Ramen,20,4.5
Smoke Daddy,60622,$11-30,Barbeque,20,3.7
Avec River North,60654,,Mediterranean,6,3.0
Lula Cafe,60647,$11-30,American (New),20,4.45
Soulé,60622,$11-30,Cajun/Creole,20,3.45
Eat Me Milk Me,60607,Under $10,Themed Cafes,20,4.45
Serai,60647,$11-30,Malaysian,20,4.35
Mama Delia,60622,,Spanish,20,3.9
Parlor Pizza Bar - Wicker Park,60622,$11-30,Pizza,20,3.7
Antique Taco,60622,$11-30,Mexican,20,4.2
Tamale Guy Chicago,60622,Under $10,Mexican,20,4.35
Mom's,60607,,Japanese,8,4.75
Crazy Bird,60642,Under $10,Chicken Wings,20,4.3
The Whale Chicago,60647,$11-30,American (New),20,4.25
Flat & Point,60647,,American (New),20,4.6
Del Seoul,60614,Under $10,Korean,20,4.5
Ipsento 606,60647,$11-30,Sandwiches,20,3.85
Chef’s Special Cocktail Bar,60647,,Chinese,20,4.15
The Arch,60604,,American (Traditional),4,4.25
Kimchi Pop,60622,$11-30,Korean,20,4.4
Kai Zan,60622,$31-60,Asian Fusion,20,4.6
Rumi Middle Eastern Grill,60622,Under $10,Mediterranean,20,4.45
The Publican,60607,$31-60,American (New),20,3.85
Enoteca Roma Ristorante,60622,$11-30,Italian,20,4.55
Portillo's Hot Dogs,60654,Under $10,Hot Dogs,20,4.0
Bourbon On Division,60622,$11-30,Southern,20,3.35
Wake ‘n Bacon,60657,,Breakfast &amp; Brunch,20,4.4
Chicago Pizza And Oven Grinder Company,60614,$11-30,Pizza,20,4.6
"Table, Donkey and Stick",60647,$11-30,Modern European,20,4.3
Duck Duck Goat,60607,$31-60,Chinese,20,4.55
Goose Island Shrimp House Chicago,60642,Under $10,Seafood,20,3.9
Aba,60607,$31-60,Mediterranean,20,4.75
Sushi Taku,60622,$11-30,Japanese,20,4.0
Kraken Sushi & Beyond,60618,,Japanese,8,4.75
Flour Power,60622,,Italian,14,4.642857142857143
Sir Chicken,60654,,Chicken Shop,7,4.428571428571429
Irazú Costa Rican Restaurant & Catering,60647,$11-30,Latin American,20,4.65
Kapitan,60614,,Asian Fusion,20,4.3
Same Same,60618,$11-30,Thai,20,4.4
Mable's Table,60622,$11-30,American (New),20,4.15
Tatas Tacos,60657,,Tacos,3,5.0
Honey Butter Fried Chicken,60618,$11-30,Chicken Shop,20,3.85
Taxim,60622,$31-60,Greek,20,3.9
Humboldt Haus Sandwich Bar,60647,Under $10,Sandwiches,20,4.25
Nomonomo Japanese Pub & Grill,60647,,Japanese,10,3.9
Summer House Santa Monica,60614,$11-30,American (Traditional),20,4.6
Wyler Road,60647,$11-30,Sandwiches,20,4.15
The StopAlong,60647,$11-30,Pizza,20,4.2
Shawarma Garden,60622,Under $10,Middle Eastern,20,4.25
Piece Brewery and Pizzeria,60622,$11-30,Pizza,20,3.95
Doc B's Restaurant + Bar,60611,$11-30,American (New),20,4.45
Bar Siena,60607,$11-30,Italian,20,4.2
Milly’s Pizza In The Pan,60647,,Pizza,20,4.9
Cumin,60622,$11-30,Indian,20,4.2
The Office,60607,Above $61,American (Traditional),20,4.4
QBirria Factory,60661,,Mexican,20,4.15
1492 Cuban Fusion,60647,$11-30,Cuban,20,4.65
Porto,60622,,Portuguese,20,3.55
Fatso's Last Stand,60622,$11-30,Hot Dogs,20,4.25
Dos Urban Cantina,60647,$11-30,Mexican,20,4.45
Cebu,60647,$11-30,Filipino,20,4.25
Kizuki Ramen & Izakaya,60622,$11-30,Ramen,20,4.15
Pizzeria Bebu,60642,$11-30,Pizza,20,4.55
Chengdu Aroma,60657,$11-30,Szechuan,20,4.9
Vajra,60642,$31-60,Himalayan/Nepalese,20,4.8
RAMEN-SAN,60654,$11-30,Ramen,20,3.6
Sabroso! Mexican Grill,60622,$11-30,Mexican,20,4.85
Mi Tocaya Antojeria,60647,$11-30,Mexican,20,3.7
Tricycle Chicago,60647,$11-30,American (New),20,3.65
Hops & Curds,60614,,Comfort Food,16,4.8125
Green Street Smoked Meats,60607,$11-30,Barbeque,20,4.45
Iron Age Korean Steakhouse,60622,$11-30,Korean,20,3.6
Pizza Friendly Pizza,60622,,Pizza,20,4.65
Haidilao Hot Pot,60616,,Chinese,6,5.0
Sfera Sicilian Street Food,60617,,Sicilian,7,5.0
Bavette's Bar & Boeuf,60654,$31-60,Steakhouses,20,4.5
The Moonlighter,60647,$11-30,Burgers,20,3.9
Namaste Chicago,60647,$11-30,Indian,20,4.55
Sushi + Rotary Sushi Bar Bucktown,60622,,Conveyor Belt Sushi,5,5.0
Knead Great Pizza,60647,$11-30,Pizza,20,4.65
Daebak Lincoln Park,60642,,Korean,6,4.666666666666667
Mogadishu Restaurant,60610,Under $10,African,20,4.55
Cela's Boricua Style Hot Dog,60622,,Hot Dogs,1,5.0
Sapori Trattoria,60614,$11-30,Italian,20,4.45
Boka,60614,$31-60,American (New),20,4.6
XOchimilco Mexican Restaurant,60618,$11-30,Mexican,20,4.95
Flo,60642,$11-30,Breakfast &amp; Brunch,20,4.55
Big League Burgers,60618,,Burgers,17,4.411764705882353
ArePA George,60651,$11-30,Colombian,20,4.1
Avec - Chicago,60661,$31-60,Mediterranean,20,4.3
Lil' Ba-Ba-Reeba,60654,,Seafood,6,4.5
Lowcountry Lakeview,60657,$11-30,Cajun/Creole,20,4.6
La Sandwichera,60622,,Sandwiches,1,5.0
Tejanos,60622,,Tex-Mex,13,4.3076923076923075
Caribella,60647,$11-30,Breakfast &amp; Brunch,20,4.7
Papa's Cache Sabroso,60622,$11-30,Latin American,20,4.7
El Habanero,60647,$11-30,Mexican,20,4.3
The Dandy Crown,60642,,American (New),16,4.375
Hash,60622,$11-30,Breakfast &amp; Brunch,20,4.65
MAK Restaurant,60622,$11-30,Asian Fusion,20,3.85
Gaijin,60607,$11-30,Japanese,20,4.45
Monteverde,60607,$31-60,Italian,20,4.7
Aloha Eats,60614,$11-30,Hawaiian,20,4.45
Bartoli’s Pizzeria,60622,,Pizza,17,4.411764705882353
Crab Cellar,60614,Above $61,Seafood,20,4.7
Qing Xiang Yuan Dumplings,60616,$11-30,Barbeque,20,4.6
Arbella,60654,$11-30,Tapas/Small Plates,20,4.75
Tempesta Market,60642,$11-30,Delis,20,4.55
The Crab Pad,60647,$11-30,Seafood,20,3.7
The Fat Shallot - Lincoln Park,60603,$11-30,Sandwiches,20,4.75
Philly Bros,60614,$11-30,Halal,20,4.2
Chicago Fajitas,60622,,Mexican,0,0.0
Osteria Langhe,60647,$31-60,Italian,20,4.95
The Picky Vegan,60610,,Vegan,2,5.0
Greek Islands Restaurant,60661,$11-30,Greek,20,4.05
Mr Dumpling,60614,,Chinese,20,4.0
Le Sud,60618,$31-60,Mediterranean,20,4.7
True Food Kitchen,60654,$11-30,American (New),20,4.1
Menya Goku By Ramen Wasabi,60618,$11-30,Ramen,20,4.55
Bill Kim Asian Comfort Food,60607,,Korean,6,4.333333333333333
Craft Pizza,60622,$11-30,Pizza,20,4.5
Bulerias Tapas Bar,60647,,Tapas Bars,20,4.2
Velvet Taco Gold Coast,60610,$11-30,American (New),20,4.35
Jinsei Motto,60661,,Sushi Bars,3,5.0
Cafe Robey,60647,$11-30,Breakfast &amp; Brunch,20,4.05
Buona Terra,60647,$11-30,Italian,20,4.75
Heritage Restaurant & Caviar Bar,60622,$31-60,Seafood,20,4.75
Sultan's Market,60647,Under $10,Middle Eastern,20,4.5
Pl-zen,60608,$11-30,Gastropubs,20,4.05
Reno,60647,$11-30,American (Traditional),20,3.85
Tryzub Ukrainian Kitchen,60622,$11-30,Ukrainian,20,4.5
JIAN,60602,,Chinese,20,4.0
The Violet Hour,60622,$11-30,American (New),20,4.1
Maggiano's Little Italy,60654,,Italian,2,5.0
